name,number_groups,login,email,academic_degree, ear,  Groups,password,telegram_url
master7, В7897,master7@lp.com,master7@lp.com,master,2023,Learning projects / Master,admin,https://t.me/TimeWork_N0W
master8, В7898,master8@lp.com,master8@lp.com,master,2023,Learning projects / Master,admin,https://t.me/TimeWork_N0W
master9, В7899,master9@lp.com,master9@lp.com,master,2023,Learning projects / Master,admin,https://t.me/TimeWork_N0W
master10, В7900,master10@lp.com,master10@lp.com,master,2023,Learning projects / Master,admin,https://t.me/TimeWork_N0W
master11, В7901,master11@lp.com,master11@lp.com,master,2023,Learning projects / Master,admin,https://t.me/TimeWork_N0W
master12, В7902,master12@lp.com,master12@lp.com,master,2023,Learning projects / Master,admin,https://t.me/TimeWork_N0W
bachelor7, В7903,bachelor7@lp.com,bachelor7@lp.com,bachelor,2023,Learning projects / Bachelor,admin,https://t.me/TimeWork_N0W
bachelor8, В7904,bachelor8@lp.com,bachelor8@lp.com,bachelor,2023,Learning projects / Bachelor,admin,https://t.me/TimeWork_N0W
bachelor9, В7905,bachelor9@lp.com,bachelor9@lp.com,bachelor,2023,Learning projects / Bachelor,admin,https://t.me/TimeWork_N0W
bachelor10, В7906,bachelor10@lp.com,bachelor10@lp.com,bachelor,2023,Learning projects / Bachelor,admin,https://t.me/TimeWork_N0W
bachelor11, В7907,bachelor11@lp.com,bachelor11@lp.com,bachelor,2023,Learning projects / Bachelor,admin,https://t.me/TimeWork_N0W
bachelor12, В7908,bachelor12@lp.com,bachelor12@lp.com,bachelor,2023,Learning projects / Bachelor,admin,https://t.me/TimeWork_N0W
lecturer7,,lecturer7@lp.com,lecturer7@lp.com,,2023,Learning projects / Lecturer,admin,https://t.me/TimeWork_N0W
lecturer8,,lecturer8@lp.com,lecturer8@lp.com,,2023,Learning projects / Lecturer,admin,https://t.me/TimeWork_N0W
lecturer9,,lecturer9@lp.com,lecturer9@lp.com,,2023,Learning projects / Lecturer,admin,https://t.me/TimeWork_N0W
lecturer10,,lecturer10@lp.com,lecturer10@lp.com,,2023,Learning projects / Lecturer,admin,https://t.me/TimeWork_N0W
lecturer11,,lecturer11@lp.com,lecturer11@lp.com,,2023,Learning projects / Lecturer,admin,https://t.me/TimeWork_N0W
lecturer12,,lecturer12@lp.com,lecturer12@lp.com,,2023,Learning projects / Lecturer,admin,https://t.me/TimeWork_N0W
